"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","cluster8529.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-5226.8345,-4008.1309,"K2P{8.67591}+FQ;JC",10557.6691,10563.6669,10811.3956,"Mixture",972,26,0.565843621399177,"22.33%",364,28,0.6087,0.4348,0.1236,46.3033,0.8467,NA,"0.9991","0.1696","0.1698","0","0.001","0.0111","0.0199","0.0167","0.1759"
"One_class","cluster8529.cds.aln-cln","K2P+G4","G4",-5237.0989,-4008.1309,"K2P{1,3.2044,1,1,3.2044,1}+G4{0.25,0.25,0.25,0.25}",10576.1978,10581.963,10825.0449,"Mixture",972,26,0.565843621399177,"22.33%",364,28,0.6087,0.4296,0.1233,47.55,0.8749,NA,"0.9758","0.1673","0.1714","0","0.001","0.0113","0.0204","0.0168","0.1823"
"Mixture","cluster8504.cds.aln-cln","MIX{TN+FO,JC+FO,K81+FO}+I+R2","I+R2",-5391.5444,-3719.8566,"TN{6.09271,53.5177}+FO{0.255713,0.191935,0.382032,0.17032};JC;K3P{31.7628,97.5835}+FQ",10905.0888,10913.1356,11204.5837,"Mixture",1002,26,0.626746506986028,"23.95%",335,24,0.5217,0.4411,0.1482,37.9605,0.9713,NA,"1.3774","0.2632","0.1911","0","0.002","0.0114","0.024","0.0195","0.2463"
"One_class","cluster8504.cds.aln-cln","TIM2+F+I+R2","I+R2",-5439.5343,-3719.8566,"TIM2{1.4438,2.4527,1.4438,1,9.7634,1}+F{0.2437,0.2098,0.3462,0.2002}",10995.0685,11002.3262,11279.8342,"Mixture",1002,26,0.626746506986028,"23.95%",335,24,0.5217,0.2835,0.0684,37.6431,0.3736,NA,"1.1772","0.2367","0.2011","0","0.0021","0.0119","0.0281","0.0207","0.3324"
"Mixture","cluster8540.cds.aln-cln","MIX{TNe,JC+FO,F81+FO}+G","G4",-7760.4465,-5847.0806,"TNe{6.59443,9.35864}+FQ;JC;F81+FO{0.750602,0.0587463,0.0326199,0.158032}",15634.893,15639.4593,15937.9741,"Mixture",1506,26,0.620185922974768,"23.84%",457,32,0.6957,0.4775,0.1171,45.3542,0.8522,NA,"0.8748","0.2458","0.281","0","0.0017","0.0101","0.0175","0.0189","0.1582"
"One_class","cluster8540.cds.aln-cln","TNe+G4","G4",-7790.9627,-5847.0806,"TNe{1,2.8644,1,1,4.2022,1}+G4{0.25,0.25,0.25,0.25}",15685.9254,15689.7189,15962.4204,"Mixture",1506,26,0.620185922974768,"23.84%",457,32,0.6957,0.4839,0.1213,41.3884,0.8882,NA,"0.8598","0.2427","0.2823","0","0.0014","0.0096","0.0179","0.0188","0.1636"
"Mixture","cluster8547.cds.aln-cln","MIX{TIM+FO,F81+FO,JC+FO}+G","G4",-5618.3381,-5013.1492,"TIM{0.103417,0.0001,2.1955}+FO{0.395,0.0249969,0.555916,0.0240876};F81+FO{0.0109465,0.639475,0.039683,0.309895};JC",11358.6762,11365.0379,11671.7098,"Mixture",1251,26,0.671462829736211,"18.63%",370,32,0.6957,0.5857,0.1445,40.7431,0.8904,NA,"0.9065","0.2321","0.256","0","0.0028","0.0076","0.0172","0.0138","0.1613"
"One_class","cluster8547.cds.aln-cln","TIM+F+I+R2","I+R2",-5655.6995,-5013.1492,"TIM{1,1.7252,0.6126,0.6126,2.9459,1}+F{0.2128,0.3024,0.2939,0.191}",11427.3989,11433.1406,11725.0375,"Mixture",1251,26,0.671462829736211,"18.63%",370,32,0.6957,0.6116,0.1463,49.366,0.9815,NA,"0.8414","0.2103","0.2499","0","0.0033","0.0084","0.0185","0.0149","0.1843"
"Mixture","cluster8564.cds.aln-cln","MIX{TN+FO,TNe+FO}+G","G4",-4976.3145,-5204.7534,"TN{2.9148,0.0001}+FO{0.416459,0.128269,0.350576,0.104697};TNe{1.54418,5.60536}+FQ",10068.629,10075.4322,10356.9314,"One_class",1065,26,0.608450704225352,"19.44%",424,24,0.5217,0.2821,0.0603,48.7032,0.7388,NA,"0.8702","0.1936","0.2225","0","9e-04","0.0086","0.0172","0.0156","0.1931"
"One_class","cluster8564.cds.aln-cln","TN+F+G4","G4",-4986.4987,-5204.7534,"TN{1,2.6847,1,1,5.4274,1}+F{0.2999,0.2085,0.2948,0.1968}",10082.9974,10089.1025,10356.3876,"One_class",1065,26,0.608450704225352,"19.44%",424,24,0.5217,0.3049,0.067,50.2394,0.8003,NA,"0.8452","0.1899","0.2247","0","9e-04","0.0086","0.0178","0.0157","0.205"
"Mixture","cluster8565.cds.aln-cln","K2P+G4","G4",-2538.8658,-1906.959,"K2P{1,4.0054,1,1,4.0054,1}+G4{0.25,0.25,0.25,0.25}",5179.7316,5189.912,5401.6268,"Mixture",573,26,0.668411867364747,"17.45%",169,34,0.7391,0.5234,0.1477,41.5211,1.4125,NA,"0.6939","0.1791","0.2581","0","0.0017","0.0072","0.0142","0.0129","0.129"
"One_class","cluster8565.cds.aln-cln","K2P+G4","G4",-2538.8676,-1906.959,"K2P{1,3.9978,1,1,3.9978,1}+G4{0.25,0.25,0.25,0.25}",5179.7353,5189.9157,5401.6305,"Mixture",573,26,0.668411867364747,"17.45%",169,34,0.7391,0.5234,0.1477,40.8044,1.4125,NA,"0.6939","0.1791","0.2581","0","0.0017","0.0072","0.0142","0.0129","0.129"
"Mixture","cluster8559.cds.aln-cln","TN+FO+G4","G4",-10140.0602,-10757.8718,"TN{1,2.2779,1,1,4.9622,1}+FO{0.3014,0.2003,0.2932,0.2051}",20390.1204,20393.2112,20699.5013,"Mixture",2049,26,0.600780868716447,"18.94%",747,26,0.5652,0.4378,0.1021,29.2746,0.6617,NA,"1.0098","0.199","0.1971","0","0.0026","0.0086","0.0205","0.0175","0.1917"
"One_class","cluster8559.cds.aln-cln","TIM2+F+G4","G4",-10137.2609,-10757.8718,"TIM2{0.7496,1.9634,0.7496,1,4.3148,1}+F{0.3121,0.2043,0.2852,0.1984}",20386.5218,20389.7266,20701.5278,"Mixture",2049,26,0.600780868716447,"18.94%",747,26,0.5652,0.4387,0.1025,29.2746,0.6738,NA,"1.0047","0.1983","0.1974","0","0.0026","0.0084","0.0206","0.0175","0.1942"
"Mixture","cluster8488.cds.aln-cln","MIX{TN+FO,K80+FO}+I+R3","I+R3",-13371.0246,-11660.415,"TN{0.915647,2.3442}+FO{0.298652,0.203737,0.300105,0.197506};K2P{13.5706}+FQ",26864.0492,26867.3351,27215.9039,"Mixture",2364,26,0.532571912013536,"26.52%",881,20,0.4348,0.369,0.1179,29.8831,0.9698,NA,"1.2623","0.3125","0.2476","0","0.001","0.0092","0.0242","0.0213","0.2765"
"One_class","cluster8488.cds.aln-cln","TN+F+I+R2","I+R2",-13405.1427,-11660.415,"TN{1,2.6261,1,1,4.4969,1}+F{0.2747,0.2182,0.2818,0.2253}",26924.2853,26927.1526,27253.0676,"Mixture",2364,26,0.532571912013536,"26.52%",881,22,0.4783,0.33,0.0921,33.2265,0.7384,NA,"1.1852","0.2947","0.2487","0","0.001","0.0095","0.0258","0.02","0.3052"
"Mixture","cluster8449.cds.aln-cln","MIX{TN+FO,JC+FO,TPM2u+FO}+I+R2","I+R2",-18520.195,-15220.5015,"TN{1.52923,8.48828}+FO{0.14323,0.0159952,0.818823,0.0219512};JC;TPM2u{0.275735,4.2573}+FO{0.306209,0.259078,0.09766,0.337053}",37168.39,37170.6947,37565.7857,"Mixture",3675,26,0.633741496598639,"21.88%",981,20,0.4348,0.2012,0.0444,42,0.3852,NA,"1.0187","0.2304","0.2262","2e-04","0.002","0.0113","0.0186","0.0182","0.1828"
"One_class","cluster8449.cds.aln-cln","TN+F+I+R2","I+R2",-18603.7156,-15220.5015,"TN{1,3.2735,1,1,5.789,1}+F{0.2574,0.215,0.2812,0.2464}",37321.4311,37323.2591,37675.3617,"Mixture",3675,26,0.633741496598639,"21.88%",981,20,0.4348,0.2695,0.0713,41.0853,0.7078,NA,"0.9117","0.2056","0.2255","0","0.0022","0.0114","0.0208","0.0191","0.2216"
"Mixture","cluster8585.cds.aln-cln","HKY+FO+G4","G4",-2865.7514,-2678.661,"HKY{1,3.2004,1,1,3.2004,1}+FO{0.159,0.2979,0.2869,0.2562}",5839.5027,5850.7741,6075.2922,"Mixture",582,26,0.503436426116838,"42.44%",231,42,0.913,10.9761,10.0028,83.8809,112.199,NA,"11.2653","10.4254","0.9254","0","0.0045","0.0136","0.2299","0.024","10"
"One_class","cluster8585.cds.aln-cln","HKY+F+G4","G4",-2867.768,-2678.661,"HKY{1,3.2293,1,1,3.2293,1}+F{0.1633,0.2791,0.312,0.2456}",5843.536,5854.8074,6079.3254,"Mixture",582,26,0.503436426116838,"42.44%",231,42,0.913,10.978,10.0029,84.3801,112.1817,NA,"11.2633","10.4239","0.9255","0","0.0045","0.0137","0.2299","0.0241","10"
"Mixture","cluster8577.cds.aln-cln","MIX{HKY+FO,JC+FO,K80+FO}+I+R2","I+R2",-7574.9339,-5256.8243,"HKY{42.6751}+FO{0.0199272,0.316504,0.636264,0.0273043};JC;K2P{24.1804}+FQ",15267.8679,15273.9819,15569.0608,"Mixture",1218,26,0.529556650246305,"28.98%",476,26,0.5652,0.8043,0.2725,48.5901,2.2215,NA,"1.7793","0.3704","0.2082","0","0.0018","0.0118","0.0279","0.028","0.2938"
"One_class","cluster8577.cds.aln-cln","HKY+F+G4","G4",-7636.22,-5256.8243,"HKY{1,2.9659,1,1,2.9659,1}+F{0.2238,0.2639,0.2932,0.2192}",15380.44,15385.5475,15656.1081,"Mixture",1218,26,0.529556650246305,"28.98%",476,26,0.5652,0.44,0.1162,39.4081,0.8725,NA,"1.3682","0.3273","0.2392","0","0.0025","0.0126","0.0363","0.0313","0.4314"
"Mixture","cluster8619.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-6397.0234,-4835.5687,"TNe{15.776,21.6624}+FQ;JC",12900.0467,12905.1212,13169.0197,"Mixture",1182,26,0.583756345177665,"23.27%",395,20,0.4348,0.3021,0.0811,28.2135,0.516,NA,"1.1066","0.1469","0.1327","0","0.0017","0.0099","0.0216","0.0188","0.2558"
"One_class","cluster8619.cds.aln-cln","K2P+G4","G4",-6435.921,-4835.5687,"K2P{1,3.7161,1,1,3.7161,1}+G4{0.25,0.25,0.25,0.25}",12973.8421,12978.5359,13232.6652,"Mixture",1182,26,0.583756345177665,"23.27%",395,22,0.4783,0.2897,0.0657,29.6816,0.5641,NA,"1.0599","0.1465","0.1382","0","0.0017","0.0105","0.0226","0.0188","0.2869"
"Mixture","cluster8498.cds.aln-cln","MIX{HKY+FO,TPM2+FO,JC+FO,F81+FO}+I+G","I+G4",-10811.4322,-9434.7927,"HKY{4.83329}+FO{0.182378,0.268204,0.246905,0.302513};TPM2{0.480225,20.8741}+FQ;JC;F81+FO{0.0216063,0.0609941,0.902835,0.0145643}",21748.8644,21752.831,22104.705,"Mixture",2097,26,0.618979494515975,"22.94%",695,30,0.6522,0.6349,0.2035,36.2215,1.5879,NA,"1.3225","0.3497","0.2644","0","0.0018","0.0097","0.0235","0.0184","0.2803"
"One_class","cluster8498.cds.aln-cln","TN+F+G4","G4",-10869.7865,-9434.7927,"TN{1,3.1198,1,1,3.9942,1}+F{0.2031,0.2354,0.2916,0.27}",21849.573,21852.5912,22160.2275,"Mixture",2097,26,0.618979494515975,"22.94%",695,26,0.5652,0.4588,0.1312,36.2215,0.8926,NA,"1.1514","0.3022","0.2625","0","0.0011","0.0097","0.027","0.0215","0.35"
"Mixture","cluster8629.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-7674.3063,-5709.1851,"K2P{8.45106}+FQ;JC",15452.6125,15457.1566,15720.0806,"Mixture",1266,26,0.525276461295419,"28.75%",518,24,0.5217,0.4379,0.1419,51.4296,1.2462,NA,"1.411","0.3388","0.2401","0","0.0023","0.0102","0.0279","0.0221","0.2537"
"One_class","cluster8629.cds.aln-cln","K2P+G4","G4",-7687.6309,-5709.1851,"K2P{1,3.4523,1,1,3.4523,1}+G4{0.25,0.25,0.25,0.25}",15477.2619,15481.6309,15739.5864,"Mixture",1266,26,0.525276461295419,"28.75%",518,24,0.5217,0.3977,0.1283,47.5815,1.1251,NA,"1.3677","0.3322","0.2429","0","0.0024","0.0103","0.0288","0.0222","0.269"
"Mixture","cluster8631.cds.aln-cln","MIX{K2P,JC+FO}+G","G4",-4277.6874,-3007.7494,"K2P{12.8284}+FQ;JC",8659.3748,8666.5706,8904.1952,"Mixture",819,26,0.615384615384615,"23.20%",273,28,0.6087,0.3342,0.0779,42.7083,0.3779,NA,"0.9606","0.2177","0.2266","0","0.0012","0.0086","0.0188","0.0188","0.1884"
"One_class","cluster8631.cds.aln-cln","K2P+G4","G4",-4296.3935,-3007.7494,"K2P{1,3.3564,1,1,3.3564,1}+G4{0.25,0.25,0.25,0.25}",8694.7869,8701.7022,8934.8992,"Mixture",819,26,0.615384615384615,"23.20%",273,28,0.6087,0.3498,0.0833,42.7083,0.4639,NA,"0.9232","0.2083","0.2256","0","0.0012","0.0075","0.0196","0.0189","0.2049"
"Mixture","cluster8668.cds.aln-cln","K2P+G4","G4",-6207.5586,-5323.4783,"K2P{1,4.6749,1,1,4.6749,1}+G4{0.25,0.25,0.25,0.25}",12517.1172,12521.6661,12777.4705,"One_class",1218,26,0.577175697865353,"21.59%",426,22,0.4783,0.3098,0.0826,27.5681,0.854,NA,"0.8467","0.1759","0.2077","0","0.0014","0.0092","0.0173","0.0162","0.1644"
"One_class","cluster8668.cds.aln-cln","K2P+G4","G4",-6207.555,-5323.4783,"K2P{1,4.6741,1,1,4.6741,1}+G4{0.25,0.25,0.25,0.25}",12517.11,12521.6589,12777.4632,"One_class",1218,26,0.577175697865353,"21.59%",426,22,0.4783,0.3098,0.0826,26.9072,0.8541,NA,"0.8466","0.1759","0.2078","0","0.0014","0.0092","0.0173","0.0162","0.1644"
"Mixture","cluster8578.cds.aln-cln","MIX{TN+FO,JC+FO,TN+FO,F81+FO}+G","G4",-6960.2292,-6302.6752,"TN{19.0541,12.6747}+FO{0.198425,0.403785,0.126918,0.270872};JC;TN{25.1386,100}+FO{0.0234862,0.0804233,0.88173,0.0143601};F81+FO{0.976077,0.00330646,0.00909865,0.0115175}",14052.4585,14058.7486,14401.9322,"Mixture",1473,26,0.674134419551935,"19.28%",432,26,0.5652,0.368,0.095,43.9545,0.663,NA,"1.0076","0.1927","0.1912","0","0.0021","0.0109","0.0166","0.018","0.1492"
"One_class","cluster8578.cds.aln-cln","TNe+G4","G4",-7042.135,-6302.6752,"TNe{1,3.283,1,1,5.7207,1}+G4{0.25,0.25,0.25,0.25}",14188.2701,14192.1518,14463.613,"Mixture",1473,26,0.674134419551935,"19.28%",432,26,0.5652,0.4741,0.1303,45.913,1.1413,NA,"0.8157","0.152","0.1863","0","0.002","0.012","0.0206","0.0191","0.2148"
"Mixture","cluster8641.cds.aln-cln","TIM3+FO+G4","G4",-9073.4448,-8834.1129,"TIM3{0.6884,2.3948,1,0.6884,4.2289,1}+FO{0.3038,0.2035,0.2596,0.2331}",18258.8896,18262.8672,18562.1731,"Mixture",1662,26,0.5,"22.74%",694,26,0.5652,0.307,0.1013,43.8634,0.4626,NA,"1.1125","0.2248","0.2021","0","0.0011","0.0112","0.0227","0.018","0.3107"
"One_class","cluster8641.cds.aln-cln","TIM3+F+G4","G4",-9074.7222,-8834.1129,"TIM3{0.6779,2.3241,1,0.6779,4.2904,1}+F{0.301,0.2018,0.2726,0.2247}",18261.4444,18265.422,18564.7279,"Mixture",1662,26,0.5,"22.74%",694,26,0.5652,0.3064,0.101,43.8634,0.4631,NA,"1.111","0.2246","0.2022","0","0.0011","0.0112","0.0227","0.0181","0.3111"
"Mixture","cluster8676.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-5380.6618,-3832.8644,"TNe{4.19108,6.90279}+FQ;JC",10867.3235,10874.0418,11122.2026,"Mixture",906,26,0.533112582781457,"25.72%",361,24,0.5217,0.4923,0.155,55.9643,0.9181,NA,"1.2537","0.2679","0.2137","0","0.0022","0.0134","0.0251","0.0298","0.1808"
"One_class","cluster8676.cds.aln-cln","TNe+G4","G4",-5386.5959,-3832.8644,"TNe{1,2.3719,1,1,3.5697,1}+G4{0.25,0.25,0.25,0.25}",10877.1918,10883.6537,11127.2618,"Mixture",906,26,0.533112582781457,"25.72%",361,24,0.5217,0.5003,0.1546,55.9643,0.9045,NA,"1.2315","0.2666","0.2165","0","0.0021","0.0135","0.0256","0.0283","0.1837"
"Mixture","cluster8632.cds.aln-cln","MIX{TN+FO,HKY+FO,JC+FO}+I+R2","I+R2",-7726.9977,-6354.7952,"TN{20.0487,99.8566}+FO{0.413103,0.34134,0.0125111,0.233046};HKY{7.615}+FO{0.0976122,0.147178,0.623731,0.131478};JC",15579.9954,15585.3112,15918.0416,"Mixture",1581,26,0.645793801391524,"23.85%",465,26,0.5652,0.8479,0.2513,43.0813,2.0791,NA,"1.5594","0.461","0.2956","2e-04","0.0014","0.0068","0.0216","0.0137","0.2065"
"One_class","cluster8632.cds.aln-cln","TN+F+I+R2","I+R2",-7825.2742,-6354.7952,"TN{1,2.3683,1,1,7.1062,1}+F{0.2315,0.2224,0.3484,0.1977}",15764.5484,15768.8899,16070.3998,"Mixture",1581,26,0.645793801391524,"23.85%",465,20,0.4348,0.4137,0.1074,36.565,0.5634,NA,"1.0603","0.3168","0.2988","0","0.0017","0.008","0.0318","0.0151","0.382"
"Mixture","cluster8171.cds.aln-cln","MIX{TN+FO,K80+FO,TN+FO,F81+FO,JC+FO}+G","G4",-24537.1064,-27560.4472,"TN{0.306695,8.12583}+FO{0.257695,0.0315427,0.654331,0.0564316};K2P{12.9601}+FQ;TN{2.09631,0.172807}+FO{0.93258,0.0360271,0.0245125,0.00688079};F81+FO{0.231983,0.217745,0.167785,0.382487};JC",49210.2127,49212.0506,49655.7212,"Mixture",5175,26,0.626666666666667,"19.56%",1531,22,0.4783,0.2648,0.0636,53.591,0.659,NA,"0.927","0.1967","0.2122","2e-04","0.001","0.01","0.0174","0.0152","0.1759"
"One_class","cluster8171.cds.aln-cln","TN+F+G4","G4",-24635.2768,-27560.4472,"TN{1,3.2011,1,1,5.4477,1}+F{0.2886,0.1999,0.2641,0.2474}",49380.5536,49381.757,49740.8913,"Mixture",5175,26,0.626666666666667,"19.56%",1531,22,0.4783,0.3007,0.0786,45.2548,0.8561,NA,"0.8544","0.1831","0.2143","0","0.001","0.0103","0.0189","0.0155","0.2025"
"Mixture","cluster8667.cds.aln-cln","MIX{K2P,JC+FO,HKY+FO}+G","G4",-9455.357,-7891.9614,"K2P{13.6189}+FQ;JC;HKY{5.56631}+FO{0.0406814,0.847125,0.104159,0.00803467}",19024.714,19028.9228,19332.2701,"Mixture",1629,26,0.538367096378146,"26.03%",642,20,0.4348,0.234,0.0598,30.5287,0.3296,NA,"1.1758","0.2312","0.1966","0","0.0019","0.0114","0.0232","0.0223","0.2301"
"One_class","cluster8667.cds.aln-cln","K2P+G4","G4",-9506.2856,-7891.9614,"K2P{1,2.9974,1,1,2.9974,1}+G4{0.25,0.25,0.25,0.25}",19114.5712,19117.9345,19389.753,"Mixture",1629,26,0.538367096378146,"26.03%",642,20,0.4348,0.2155,0.0528,32.5576,0.2589,NA,"1.1376","0.2275","0.2","0","0.0017","0.0121","0.024","0.0215","0.2465"
"Mixture","cluster8722.cds.aln-cln","MIX{TN+FO,JC+FO}+I+R2","I+R2",-7306.1102,-5829.6966,"TN{8.4759,17.0973}+FO{0.26531,0.174093,0.343152,0.217445};JC",14728.2204,14733.0401,15035.5694,"Mixture",1479,26,0.59972954699121,"18.93%",421,24,0.5217,0.4304,0.1594,39.5601,0.8027,NA,"1.0859","0.1637","0.1508","0","0.0014","0.0085","0.021","0.0148","0.3423"
"One_class","cluster8722.cds.aln-cln","TN+F+I+R2","I+R2",-7327.8011,-5829.6966,"TN{1,2.6804,1,1,4.2336,1}+F{0.2626,0.1986,0.307,0.2317}",14769.6023,14774.2553,15071.6522,"Mixture",1479,26,0.59972954699121,"18.93%",421,24,0.5217,0.3871,0.1291,39.2938,0.7011,NA,"1.0271","0.1585","0.1543","0","0.0014","0.0086","0.0222","0.015","0.3741"
"Mixture","cluster8728.cds.aln-cln","MIX{K2P,TPM2+FO}+G","G4",-4833.5322,-3532.7755,"K2P{5.18552}+FQ;TPM2{0.330781,0.0001}+FQ",9775.0645,9782.2996,10032.9343,"Mixture",876,26,0.545662100456621,"23.52%",324,32,0.6957,0.2984,0.0709,53,0.4606,NA,"1.0402","0.1803","0.1733","0","0.0012","0.0106","0.0207","0.0217","0.2482"
"One_class","cluster8728.cds.aln-cln","K2P+G4","G4",-4853.166,-3532.7755,"K2P{1,3.5446,1,1,3.5446,1}+G4{0.25,0.25,0.25,0.25}",9808.3321,9814.769,10051.8758,"Mixture",876,26,0.545662100456621,"23.52%",324,32,0.6957,0.2748,0.0639,47.4658,0.4961,NA,"1.013","0.1772","0.1749","0","0.0015","0.011","0.0212","0.0209","0.2647"
"Mixture","cluster8705.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-12795.8597,-11587.7194,"TN{6.11489,11.5443}+FO{0.247788,0.200941,0.283082,0.268189};JC",25703.7194,25706.0682,26035.7101,"Mixture",2775,26,0.64972972972973,"17.87%",699,26,0.5652,0.3429,0.0833,34.3511,0.9381,NA,"0.8107","0.1676","0.2067","0","0.0012","0.0075","0.0161","0.0149","0.1912"
"One_class","cluster8705.cds.aln-cln","TN+F+G4","G4",-12818.9344,-11587.7194,"TN{1,3.1917,1,1,5.3496,1}+F{0.2521,0.2087,0.275,0.2642}",25747.8688,25750.1343,26073.9311,"Mixture",2775,26,0.64972972972973,"17.87%",699,26,0.5652,0.3626,0.0888,34.3511,0.9859,NA,"0.7907","0.166","0.2099","0","0.0012","0.0076","0.0165","0.015","0.2016"
"Mixture","cluster8713.cds.aln-cln","MIX{TN+FO,JC+FO}+G","G4",-7320.3146,-6945.5924,"TN{6.11625,22.5706}+FO{0.325346,0.163277,0.326127,0.18525};JC",14752.6293,14756.7855,15053.5382,"Mixture",1593,26,0.637790332705587,"18.27%",482,18,0.3913,0.3848,0.0896,27.3496,0.9978,NA,"0.8168","0.1697","0.2078","0","0.0013","0.0073","0.0161","0.013","0.2354"
"One_class","cluster8713.cds.aln-cln","TN+F+G4","G4",-7343.6121,-6945.5924,"TN{1,2.6268,1,1,6.2817,1}+F{0.3058,0.1943,0.3051,0.1947}",14797.2241,14801.2319,15092.7597,"Mixture",1593,26,0.637790332705587,"18.27%",482,18,0.3913,0.3802,0.0905,27.3496,1.051,NA,"0.7907","0.1669","0.2111","0","0.0013","0.0079","0.0167","0.0131","0.2508"
"Mixture","cluster8655.cds.aln-cln","MIX{TIM3+FO,JC+FO}+G","G4",-10821.764,-9104.4453,"TIM3{0.490373,3.06514,7.73236}+FO{0.322694,0.184957,0.294107,0.198242};JC",21757.5281,21760.9899,22075.8601,"Mixture",1968,26,0.558434959349594,"22.00%",704,22,0.4783,0.3017,0.0833,40.398,0.8742,NA,"0.9161","0.1814","0.198","0","0.0016","0.0125","0.0185","0.018","0.1709"
"One_class","cluster8655.cds.aln-cln","TIM3+F+G4","G4",-10840.0873,-9104.4453,"TIM3{0.7126,2.1514,1,0.7126,4.086,1}+F{0.3048,0.2104,0.2762,0.2085}",21792.1746,21795.5153,22104.9219,"Mixture",1968,26,0.558434959349594,"22.00%",704,20,0.4348,0.3115,0.0875,44.6878,0.8828,NA,"0.9056","0.184","0.2032","0","0.0015","0.0126","0.0187","0.0185","0.1759"
"Mixture","cluster8792.cds.aln-cln","TN+FO+G4","G4",-5809.3492,-6346.6133,"TN{1,3.1904,1,1,4.8844,1}+FO{0.23,0.2162,0.2864,0.2674}",11728.6983,11733.0456,12019.9264,"Mixture",1473,26,0.646300067888663,"12.83%",379,38,0.8261,0.6376,0.1452,68.8186,1.4143,NA,"0.8188","0.1628","0.1988","0","0.0012","0.0084","0.0167","0.0145","0.2487"
"One_class","cluster8792.cds.aln-cln","TN+F+G4","G4",-5812.1522,-6346.6133,"TN{1,3.0515,1,1,5.111,1}+F{0.2518,0.204,0.2813,0.2629}",11734.3044,11738.6516,12025.5325,"Mixture",1473,26,0.646300067888663,"12.83%",379,38,0.8261,0.6366,0.1452,68.8186,1.4187,NA,"0.8166","0.1627","0.1992","0","0.0012","0.0084","0.0167","0.0146","0.2497"
"Mixture","cluster8803.cds.aln-cln","MIX{TNe,JC+FO}+G","G4",-6090.173,-5209.4634,"TNe{13.1579,21.5622}+FQ;JC",12286.3459,12290.9883,12559.8296,"Mixture",1287,26,0.625485625485625,"20.75%",409,24,0.5217,0.2609,0.0526,48.4562,0.2426,NA,"0.9839","0.2237","0.2274","0","0.0014","0.0094","0.0193","0.0173","0.2109"
"One_class","cluster8803.cds.aln-cln","TNe+G4","G4",-6115.5076,-5209.4634,"TNe{1,3.9525,1,1,5.6889,1}+G4{0.25,0.25,0.25,0.25}",12335.0153,12339.4821,12603.3389,"Mixture",1287,26,0.625485625485625,"20.75%",409,24,0.5217,0.2736,0.0578,48.4562,0.3225,NA,"0.9443","0.2147","0.2274","0","0.0014","0.0095","0.0201","0.0175","0.2312"
"Mixture","cluster8761.cds.aln-cln","MIX{TN+FO,JC+FO}+I+R2","I+R2",-6635.8098,-4600.4749,"TN{7.67295,13.6768}+FO{0.151945,0.273683,0.333332,0.241039};JC",13387.6196,13393.9507,13679.869,"Mixture",1140,26,0.583333333333333,"27.02%",426,28,0.6087,0.6271,0.1833,48.0833,2.1056,NA,"1.5674","0.396","0.2526","0","0.0035","0.0154","0.0298","0.03","0.2369"
"One_class","cluster8761.cds.aln-cln","TNe+I+R2","I+R2",-6673.1693,-4600.4749,"TNe{1,2.2657,1,1,4.2771,1}+I{0.25,0.25,0.25,0.25}",13454.3386,13459.8132,13726.4329,"Mixture",1140,26,0.583333333333333,"27.02%",426,28,0.6087,0.5319,0.1474,45.31,1.6352,NA,"1.4609","0.3558","0.2435","0","0.0036","0.0161","0.032","0.0286","0.2576"
"Mixture","cluster8734.cds.aln-cln","MIX{TN+FO,TPM2+FO,K80+FO}+G","G4",-5424.4478,-3855.6198,"TN{29.599,27.8457}+FO{0.033352,0.155441,0.776032,0.0351743};TPM2{0.560819,0.866984}+FQ;K2P{16.281}+FQ",10968.8956,10977.9775,11254.798,"Mixture",867,26,0.510957324106113,"34.14%",396,22,0.4783,1.2352,0.4582,43.9204,5.7885,NA,"2.1875","0.9217","0.4213","0","0.0014","0.0107","0.0339","0.0218","0.2464"
"One_class","cluster8734.cds.aln-cln","TN+F+G4","G4",-5450.7803,-3855.6198,"TN{1,1.6709,1,1,3.3044,1}+F{0.219,0.2353,0.3678,0.1779}",11011.5605,11019.1561,11273.6377,"Mixture",867,26,0.510957324106113,"34.14%",396,26,0.5652,0.7069,0.2599,41.9643,3.28,NA,"1.6595","0.6498","0.3916","0","0.0025","0.0116","0.0446","0.022","0.3817"
